CSD_ID,Season,County,year_group,count,average_level
414655000000000,Spring,GARFIELD,201,6,27.88333333333333333333333333
415007000000000,Spring,SCOTTS BLUFF,201,9,32.82333333333333333333333333
415007000000000,Spring,GARFIELD,201,7,134.5571428571428571428571429
420237000000000,Spring,GARFIELD,201,5,1.162
420237000000000,Spring,SHERIDAN,201,10,7.208
424531000000000,Spring,KNOX,201,4,3.0775
405044000000000,Spring,BUFFALO,201,3,47.99666666666666666666666667
405044000000000,Spring,SEWARD,201,5,103.58
410010000000000,Spring,DEUEL,201,4,21.7025
410010000000000,Spring,HAMILTON,201,5,106.410008
410102000000000,Spring,DEUEL,201,4,12.68
410115000000000,Spring,KEITH,201,1,120.28
410116000000000,Spring,CHEYENNE,201,5,108.622
410208000000000,Spring,KEITH,201,5,206.53
410209000000000,Spring,KEITH,201,5,37.086
410235000000000,Spring,CHEYENNE,201,5,159.79
410311000000000,Spring,HOWARD,201,4,7.1825075
410322000000000,Spring,SARPY,201,31,11.46129032258064516129032258
410324000000000,Spring,POLK,201,5,73.42
410324000000000,Spring,SARPY,201,14,9.790714285714285714285714286
410331000000000,Spring,POLK,201,5,100.854
410338000000000,Spring,BUTLER,201,5,89.756
410351000000000,Spring,BUTLER,201,5,64.636
410351000000000,Spring,SAUNDERS,201,5,78.462
410401000000000,Spring,SAUNDERS,201,14,8.08
410440000000000,Spring,SHERMAN,201,5,161.65
410454000000000,Spring,CUSTER,201,4,239.2775
410509000000000,Spring,SAUNDERS,201,5,105.632
410528000000000,Spring,DEUEL,201,2,121.665
410535000000000,Spring,KEITH,201,5,44.548
410558000000000,Spring,CHEYENNE,201,5,58.362
410558000000000,Spring,SAUNDERS,201,12,10.2925
410612000000000,Spring,BUTLER,201,5,171.94
410612000000000,Spring,SAUNDERS,201,5,51.696
410627000000000,Spring,KEITH,201,4,5.625
410739000000000,Spring,POLK,201,1,86.63
415151000000000,Spring,THOMAS,201,3,69.83333333333333333333333333
410902000000000,Spring,CHEYENNE,201,5,38.358
410954000000000,Spring,LINCOLN,201,1,61.46
410718000000000,Spring,POLK,201,5,68.856
410718000000000,Spring,DEUEL,201,4,10.0575
410101000000000,Spring,KEITH,201,1,218.38
410104000000000,Spring,DEUEL,201,4,65.2175
410153000000000,Spring,LANCASTER,201,2,65.15
410153000000000,Spring,DAWSON,201,5,42.878008
410255000000000,Spring,SARPY,201,3,11.70333333333333333333333333
410256000000000,Spring,CUSTER,201,4,126.9975
410334000000000,Spring,HOWARD,201,5,6.320006
410334000000000,Spring,SAUNDERS,201,13,6.064615384615384615384615385
410347000000000,Spring,HOWARD,201,5,16.086
410349000000000,Spring,POLK,201,2,85.78
410428000000000,Spring,SAUNDERS,201,12,2.521666666666666666666666667
410518000000000,Spring,DEUEL,201,4,19.2375
410532000000000,Spring,KEITH,201,5,75.024
410532000000000,Spring,SHERMAN,201,5,112.818
